id,vending_machine_id,item_id,saled_at
201,37,94,2025-01-03 11:11:31.311244
202,100,84,2025-01-03 07:30:02.212551
203,4,100,2025-01-03 03:54:44.017978
204,67,97,2025-01-03 09:34:51.826497
205,35,59,2025-01-03 08:47:47.146894
206,52,88,2025-01-03 02:38:23.780085
207,12,34,2025-01-03 21:03:24.447972
208,23,78,2025-01-03 08:33:51.703918
209,55,70,2025-01-03 23:15:07.286948
210,39,1,2025-01-03 13:01:20.578842
211,34,47,2025-01-03 10:34:22.775308
212,10,6,2025-01-03 12:56:39.312579
213,79,45,2025-01-03 15:46:42.042940
214,27,54,2025-01-03 20:57:08.725896
215,36,74,2025-01-03 14:50:29.097315
216,58,79,2025-01-03 06:01:45.935367
217,15,88,2025-01-03 14:33:48.497909
218,67,86,2025-01-03 14:47:31.879595
219,51,40,2025-01-03 07:28:58.548289
220,43,8,2025-01-03 03:55:57.010846
221,16,96,2025-01-03 06:53:02.895916
222,68,24,2025-01-03 20:18:58.524932
223,97,41,2025-01-03 10:31:52.207389
224,78,19,2025-01-03 09:43:23.513882
225,84,12,2025-01-03 03:31:48.039129
226,55,24,2025-01-03 13:50:09.879740
227,77,65,2025-01-03 08:22:08.210587
228,46,23,2025-01-03 10:36:39.938076
229,63,38,2025-01-03 11:00:41.945507
230,30,61,2025-01-03 12:35:25.263230
231,6,26,2025-01-03 03:01:37.308093
232,14,90,2025-01-03 20:40:04.513332
233,3,37,2025-01-03 17:10:46.285007
234,70,33,2025-01-03 14:21:55.573886
235,95,95,2025-01-03 08:15:01.955404
236,18,99,2025-01-03 10:54:09.955331
237,9,78,2025-01-03 08:07:17.963923
238,47,96,2025-01-03 10:02:28.226413
239,85,8,2025-01-03 21:23:07.362031
240,49,55,2025-01-03 02:34:15.047444
241,36,68,2025-01-03 19:49:11.290001
242,86,93,2025-01-03 17:24:00.109015
243,31,16,2025-01-03 01:09:05.887925
244,36,55,2025-01-03 00:26:12.885209
245,3,42,2025-01-03 08:04:16.087755
246,71,42,2025-01-03 23:54:56.670933
247,70,46,2025-01-03 10:17:41.396328
248,95,51,2025-01-03 01:05:43.429022
249,79,39,2025-01-03 01:48:15.948539
250,97,62,2025-01-03 07:21:57.317281
251,94,86,2025-01-03 01:05:39.686285
252,6,82,2025-01-03 12:34:16.321174
253,18,89,2025-01-03 21:32:28.945010
254,57,60,2025-01-03 12:57:28.719448
255,12,27,2025-01-03 02:15:32.297364
256,4,91,2025-01-03 00:13:13.944634
257,58,67,2025-01-03 16:42:10.181603
258,98,61,2025-01-03 11:00:28.957756
259,57,95,2025-01-03 09:11:14.375267
260,64,29,2025-01-03 04:48:10.696092
261,58,67,2025-01-03 23:57:15.378196
262,14,2,2025-01-03 00:44:57.179555
263,28,6,2025-01-03 05:57:55.565587
264,84,38,2025-01-03 15:27:03.584510
265,65,41,2025-01-03 23:14:08.251540
266,63,26,2025-01-03 03:44:04.781961
267,37,88,2025-01-03 22:07:31.688991
268,47,63,2025-01-03 17:38:50.013247
269,15,64,2025-01-03 06:32:57.523409
270,98,5,2025-01-03 16:06:18.321186
271,54,19,2025-01-03 11:26:32.216936
272,33,46,2025-01-03 12:16:11.231601
273,17,26,2025-01-03 04:20:53.097166
274,41,73,2025-01-03 07:40:38.716081
275,80,46,2025-01-03 04:39:07.821205
276,1,83,2025-01-03 19:27:45.055437
277,51,71,2025-01-03 07:15:16.122455
278,52,33,2025-01-03 04:53:04.687856
279,14,4,2025-01-03 02:22:21.328648
280,76,38,2025-01-03 16:33:59.392524
281,84,82,2025-01-03 01:13:46.507068
282,10,63,2025-01-03 18:30:27.890601
283,72,21,2025-01-03 18:44:53.410922
284,93,35,2025-01-03 08:27:31.059160
285,59,43,2025-01-03 21:09:15.816921
286,71,33,2025-01-03 05:58:38.335263
287,31,4,2025-01-03 04:41:30.783327
288,97,42,2025-01-03 13:10:14.855392
289,20,36,2025-01-03 02:47:01.567659
290,15,35,2025-01-03 00:09:27.115586
291,97,42,2025-01-03 11:16:37.276867
292,6,58,2025-01-03 17:20:08.589826
293,28,88,2025-01-03 19:10:25.376869
294,47,15,2025-01-03 18:06:37.745844
295,45,10,2025-01-03 23:49:30.770841
296,69,32,2025-01-03 17:20:18.780227
297,6,80,2025-01-03 15:22:21.700891
298,100,24,2025-01-03 20:14:59.393224
299,36,70,2025-01-03 17:56:57.022902
300,49,2,2025-01-03 22:51:56.759194
