id,vending_machine_id,item_id,saled_at
1601,63,66,2025-01-17 01:06:32.853672
1602,89,10,2025-01-17 11:53:24.704862
1603,63,56,2025-01-17 04:25:48.603687
1604,77,61,2025-01-17 00:34:06.150530
1605,71,50,2025-01-17 16:38:20.833616
1606,61,29,2025-01-17 12:52:21.470525
1607,66,79,2025-01-17 17:37:11.816733
1608,62,23,2025-01-17 17:52:45.130704
1609,6,17,2025-01-17 13:44:51.832081
1610,61,8,2025-01-17 01:09:53.217577
1611,71,45,2025-01-17 21:43:17.598834
1612,88,86,2025-01-17 06:49:49.590261
1613,65,93,2025-01-17 23:05:49.408164
1614,16,73,2025-01-17 07:58:45.239455
1615,64,48,2025-01-17 09:41:20.429073
1616,21,47,2025-01-17 13:56:07.017054
1617,34,48,2025-01-17 08:39:54.924767
1618,59,82,2025-01-17 03:24:30.864817
1619,43,51,2025-01-17 21:52:40.434201
1620,65,75,2025-01-17 09:32:49.278481
1621,2,57,2025-01-17 23:54:59.037428
1622,58,74,2025-01-17 21:22:54.501506
1623,49,16,2025-01-17 15:47:45.101829
1624,56,6,2025-01-17 19:14:47.104188
1625,43,56,2025-01-17 00:29:27.089140
1626,9,65,2025-01-17 06:05:09.574517
1627,48,56,2025-01-17 22:23:31.501259
1628,84,13,2025-01-17 01:41:38.279520
1629,82,34,2025-01-17 03:10:39.103810
1630,36,66,2025-01-17 19:21:13.118730
1631,85,91,2025-01-17 18:09:27.142278
1632,80,48,2025-01-17 18:07:18.793981
1633,83,9,2025-01-17 06:08:24.835770
1634,79,83,2025-01-17 02:29:08.463343
1635,54,17,2025-01-17 03:51:19.415179
1636,75,52,2025-01-17 03:32:03.186506
1637,17,8,2025-01-17 06:20:22.097603
1638,89,49,2025-01-17 04:35:01.876402
1639,54,79,2025-01-17 11:17:52.357107
1640,37,84,2025-01-17 11:44:46.324845
1641,22,65,2025-01-17 10:24:23.992633
1642,14,56,2025-01-17 01:15:55.421061
1643,1,74,2025-01-17 03:56:58.286607
1644,66,2,2025-01-17 15:53:26.265998
1645,74,40,2025-01-17 14:59:04.355087
1646,100,51,2025-01-17 06:43:28.031559
1647,71,1,2025-01-17 15:49:57.971934
1648,40,6,2025-01-17 06:17:12.086423
1649,29,29,2025-01-17 10:28:06.851161
1650,47,75,2025-01-17 16:50:43.427701
1651,47,15,2025-01-17 22:06:45.357440
1652,53,87,2025-01-17 11:08:17.951600
1653,81,81,2025-01-17 02:51:25.844572
1654,72,67,2025-01-17 23:15:53.818067
1655,84,50,2025-01-17 12:25:59.251049
1656,77,55,2025-01-17 08:26:49.535531
1657,37,53,2025-01-17 07:24:36.114735
1658,82,21,2025-01-17 21:59:38.969651
1659,75,21,2025-01-17 14:57:42.431006
1660,81,5,2025-01-17 06:25:49.262355
1661,18,12,2025-01-17 08:18:05.965471
1662,16,28,2025-01-17 20:59:04.389254
1663,9,19,2025-01-17 06:25:20.997256
1664,17,21,2025-01-17 09:16:47.913404
1665,81,26,2025-01-17 02:05:22.214111
1666,66,86,2025-01-17 21:13:33.535421
1667,92,99,2025-01-17 20:29:54.540869
1668,37,28,2025-01-17 10:31:11.799129
1669,95,17,2025-01-17 03:23:06.440471
1670,82,40,2025-01-17 05:36:50.810755
1671,12,30,2025-01-17 20:20:29.568553
1672,75,67,2025-01-17 23:09:23.079778
1673,80,76,2025-01-17 10:55:43.248625
1674,35,28,2025-01-17 18:47:51.495589
1675,92,98,2025-01-17 09:31:07.358206
1676,85,37,2025-01-17 09:19:14.052288
1677,84,12,2025-01-17 16:52:52.325628
1678,40,16,2025-01-17 19:00:03.478357
1679,31,78,2025-01-17 08:52:28.356545
1680,27,15,2025-01-17 20:37:34.659192
1681,58,73,2025-01-17 00:38:13.392307
1682,56,50,2025-01-17 04:39:36.235091
1683,59,88,2025-01-17 00:14:58.568240
1684,57,82,2025-01-17 14:18:09.047036
1685,84,92,2025-01-17 06:38:56.832307
1686,49,2,2025-01-17 03:01:35.439657
1687,13,70,2025-01-17 23:48:37.462667
1688,98,5,2025-01-17 10:34:50.276816
1689,71,75,2025-01-17 14:53:50.302099
1690,65,18,2025-01-17 21:46:32.674260
1691,17,71,2025-01-17 16:49:53.468757
1692,1,15,2025-01-17 20:28:28.151231
1693,18,74,2025-01-17 00:32:15.391741
1694,80,14,2025-01-17 13:11:59.267923
1695,100,27,2025-01-17 19:34:14.833780
1696,9,30,2025-01-17 10:50:07.182857
1697,70,53,2025-01-17 23:04:07.593415
1698,29,1,2025-01-17 06:12:15.241825
1699,13,24,2025-01-17 20:41:23.594044
1700,21,58,2025-01-17 04:05:14.829589
