id,vending_machine_id,item_id,saled_at
1201,86,51,2025-01-13 15:08:07.644876
1202,4,61,2025-01-13 21:20:56.444197
1203,14,45,2025-01-13 11:07:53.183944
1204,66,45,2025-01-13 14:40:43.301793
1205,18,19,2025-01-13 11:28:25.489302
1206,19,71,2025-01-13 18:10:41.624981
1207,56,75,2025-01-13 23:58:58.277421
1208,32,86,2025-01-13 20:08:45.168585
1209,75,21,2025-01-13 08:40:29.826257
1210,40,100,2025-01-13 12:18:13.345978
1211,51,68,2025-01-13 20:08:11.547290
1212,80,98,2025-01-13 12:03:50.842908
1213,3,49,2025-01-13 19:24:03.098377
1214,2,80,2025-01-13 10:12:00.989512
1215,66,33,2025-01-13 05:55:12.090410
1216,20,25,2025-01-13 03:49:06.555080
1217,21,46,2025-01-13 18:16:18.559784
1218,75,20,2025-01-13 19:24:19.657866
1219,18,49,2025-01-13 20:33:12.261360
1220,2,15,2025-01-13 18:13:01.988603
1221,92,27,2025-01-13 13:51:45.205027
1222,96,63,2025-01-13 09:11:41.650143
1223,8,49,2025-01-13 04:18:46.536590
1224,17,19,2025-01-13 06:19:37.146467
1225,76,8,2025-01-13 01:50:26.027779
1226,59,67,2025-01-13 19:06:44.346903
1227,59,81,2025-01-13 13:27:53.051713
1228,24,72,2025-01-13 10:45:48.997436
1229,89,15,2025-01-13 13:07:31.499043
1230,67,33,2025-01-13 23:26:48.606760
1231,21,86,2025-01-13 09:54:00.838365
1232,28,44,2025-01-13 13:01:02.215074
1233,30,31,2025-01-13 02:12:38.828673
1234,86,75,2025-01-13 13:32:07.047066
1235,50,65,2025-01-13 13:14:49.435977
1236,60,94,2025-01-13 03:15:22.456427
1237,89,15,2025-01-13 10:15:20.360730
1238,68,42,2025-01-13 03:15:44.974824
1239,31,88,2025-01-13 10:52:57.985687
1240,64,51,2025-01-13 15:32:46.352243
1241,57,70,2025-01-13 08:08:45.613744
1242,64,80,2025-01-13 05:06:37.814166
1243,21,6,2025-01-13 03:16:03.876863
1244,97,12,2025-01-13 02:48:09.585312
1245,39,3,2025-01-13 09:30:37.170420
1246,9,53,2025-01-13 03:00:58.352240
1247,22,14,2025-01-13 02:14:38.702233
1248,14,89,2025-01-13 21:05:52.319996
1249,87,65,2025-01-13 12:29:00.791267
1250,87,42,2025-01-13 02:50:11.154117
1251,25,56,2025-01-13 10:44:58.231815
1252,29,32,2025-01-13 14:36:03.580997
1253,21,28,2025-01-13 10:07:55.294322
1254,59,96,2025-01-13 15:55:36.010776
1255,99,67,2025-01-13 21:16:06.538410
1256,88,4,2025-01-13 22:07:39.808609
1257,50,81,2025-01-13 09:56:49.895444
1258,25,41,2025-01-13 05:30:35.231966
1259,24,51,2025-01-13 16:54:42.680263
1260,67,71,2025-01-13 02:46:54.629427
1261,66,27,2025-01-13 03:31:51.804664
1262,61,88,2025-01-13 01:35:44.856715
1263,40,5,2025-01-13 10:51:24.186789
1264,19,79,2025-01-13 12:26:15.888733
1265,52,55,2025-01-13 12:28:39.632531
1266,22,44,2025-01-13 19:36:45.127649
1267,22,11,2025-01-13 07:03:30.680941
1268,67,100,2025-01-13 12:00:33.843700
1269,51,17,2025-01-13 12:43:42.990886
1270,77,70,2025-01-13 07:23:52.322755
1271,87,16,2025-01-13 02:31:40.080850
1272,14,24,2025-01-13 05:31:23.573146
1273,28,79,2025-01-13 21:22:02.942993
1274,86,74,2025-01-13 00:49:19.329980
1275,13,76,2025-01-13 03:12:25.359428
1276,40,35,2025-01-13 06:32:39.720063
1277,86,56,2025-01-13 01:50:29.443974
1278,98,90,2025-01-13 18:08:51.682497
1279,49,45,2025-01-13 10:46:46.178261
1280,78,10,2025-01-13 08:51:24.590898
1281,83,10,2025-01-13 10:23:03.445949
1282,77,19,2025-01-13 00:59:55.523571
1283,81,43,2025-01-13 18:23:26.641189
1284,35,98,2025-01-13 14:47:59.075357
1285,37,18,2025-01-13 16:35:59.266975
1286,87,3,2025-01-13 13:13:59.332903
1287,19,56,2025-01-13 08:59:51.960293
1288,92,75,2025-01-13 05:44:35.355607
1289,73,12,2025-01-13 11:26:35.437083
1290,16,37,2025-01-13 11:27:13.522620
1291,12,73,2025-01-13 05:03:35.923047
1292,65,7,2025-01-13 13:42:18.209873
1293,23,48,2025-01-13 00:34:36.428400
1294,18,9,2025-01-13 18:27:44.504572
1295,68,48,2025-01-13 02:49:54.861835
1296,63,20,2025-01-13 15:16:37.326320
1297,64,51,2025-01-13 22:07:41.383507
1298,70,55,2025-01-13 21:49:44.858289
1299,25,59,2025-01-13 07:00:24.975201
1300,68,58,2025-01-13 13:16:57.369420
